Sex,embarked_C,embarked_Q,embarked_S,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_nan,age,sibsp,parch,fare
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.865030226597163,-0.4889591540211243,-0.4427728424858532,-0.5399491034012102
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.4102164064016981,-0.4889591540211243,-0.4427728424858532,-0.4270132907267321
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3344141030357873,-0.4889591540211243,-0.4427728424858532,-0.5586759145210509
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4848411777460722,0.4298251047081002,1.8676358243200275,0.7593831252475821
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5618210131335197,-0.4889591540211243,0.712431490917087,0.5312299683294448
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2614723049286989,-0.4889591540211243,-0.4427728424858532,-0.3927903171890115
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1203997171596775,-0.4889591540211243,-0.4427728424858532,-0.5467936981087542
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4994112339892316,0.4298251047081002,-0.4427728424858532,-0.1304141867331535
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0445974137937667,0.4298251047081002,1.8676358243200275,2.7340486983740613
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2586117996698764,-0.4889591540211243,-0.4427728424858532,-0.4270132907267321
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.712248087843805,0.4298251047081002,0.712431490917087,1.0936275001326534
